Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 16.920000 | 12        | 13        | 63        | 0.0004    | (50, 95)  | (38, 107) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 16.460000 | 14        | 57        | 103       | 0.0016    | (72, 161) | (78, 175) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 19.820000 | 19        | 44        | 92        | 0.0013    | (92, 117) | (94, 136) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 19.330000 | 14        | 15        | 70        | 0.0005    | (67, 264) | (81, 251) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 16.050000 | 14        | 41        | 79        | 0.0011    | (18, 128) | (13, 114) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 18.640000 | 17        | 63        | 111       | 0.0017    | (135, 167)| (139, 184)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 19.870000 | 17        | 59        | 107       | 0.0016    | (95, 82)  | (102, 99) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 16.100000 | 12        | 27        | 75        | 0.0008    | (67, 128) | (77, 116) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 23.740000 | 18        | 68        | 129       | 0.002     | (149, 169)| (131, 183)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 23.640000 | 22        | 89        | 142       | 0.0025    | (75, 172) | (79, 194) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 21.510000 | 17        | 82        | 144       | 0.0024    | (154, 167)| (137, 156)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 23.050000 | 21        | 101       | 159       | 0.0029    | (122, 200)| (117, 179)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 23.230000 | 22        | 72        | 128       | 0.002     | (150, 105)| (153, 83) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 22.100000 | 18        | 98        | 156       | 0.0028    | (124, 179)| (114, 161)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 20.280000 | 17        | 77        | 127       | 0.0021    | (159, 156)| (151, 139)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 22.870000 | 20        | 109       | 169       | 0.0031    | (105, 84) | (85, 77)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 21.100000 | 17        | 83        | 138       | 0.0024    | (41, 95)  | (58, 105) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 23.690000 | 20        | 118       | 182       | 0.0034    | (65, 238) | (74, 258) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 25.560000 | 19        | 63        | 134       | 0.0019    | (88, 172) | (104, 153)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 25.100000 | 21        | 131       | 193       | 0.0039    | (207, 257)| (186, 267)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 27.280000 | 24        | 161       | 232       | 0.0044    | (96, 190) | (119, 181)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 24.000000 | 24        | 25        | 77        | 0.0007    | (140, 95) | (164, 95) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 24.870000 | 22        | 127       | 193       | 0.0036    | (94, 70)  | (87, 92)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 27.410000 | 27        | 28        | 88        | 0.0008    | (121, 96) | (122, 69) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 27.330000 | 22        | 144       | 220       | 0.0042    | (104, 62) | (126, 75) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 26.050000 | 24        | 92        | 145       | 0.0025    | (82, 262) | (79, 238) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 27.280000 | 24        | 152       | 218       | 0.0042    | (88, 202) | (96, 178) | ./example/gridmap/arena2.map| Hidden              
