"Framework","Strategy","Status","Cost","Depth","Nodes(exp)","Nodes(gen)","Re-Exp","1st Sol T","Runtime","start","goal","Problem","Solution"
"graph","a-star","Optimal","27.970000","21","152","118","33","0.0009","0.0043","(105, 141)","(126, 158)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","29.100000","25","383","215","167","0.001","0.0116","(100, 226)","(110, 201)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","28.280000","25","362","204","157","0.0013","0.0108","(129, 191)","(104, 199)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.410000","33","117","106","10","0.0012","0.0034","(103, 103)","(102, 136)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","35.640000","34","273","117","155","0.0009","0.0073","(179, 276)","(175, 242)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","32.150000","26","381","235","145","0.001","0.0112","(114, 151)","(88, 136)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.510000","29","585","280","304","0.0012","0.0544","(115, 85)","(104, 56)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","35.840000","26","137","131","5","0.0011","0.0086","(60, 171)","(36, 145)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","35.150000","29","536","294","241","0.0044","0.0462","(116, 192)","(87, 207)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.740000","28","455","248","206","0.0037","0.0421","(102, 184)","(130, 198)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.200000","25","207","158","48","0.0032","0.0185","(82, 197)","(62, 172)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.510000","29","466","170","295","0.003","0.04","(82, 99)","(56, 113)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","34.840000","25","129","128","0","0.0036","0.0118","(70, 277)","(45, 253)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","37.280000","34","650","307","342","0.0038","0.0499","(53, 146)","(61, 112)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","39.000000","39","123","122","0","0.0014","0.0035","(123, 183)","(123, 144)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","39.430000","30","335","233","101","0.0012","0.0219","(136, 165)","(166, 142)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","36.640000","35","317","219","97","0.0045","0.0287","(104, 66)","(100, 101)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","38.560000","32","335","243","91","0.004","0.0296","(120, 106)","(100, 84)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","37.050000","35","408","247","160","0.0043","0.0361","(120, 65)","(85, 70)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","36.410000","36","126","115","10","0.0046","0.0122","(107, 93)","(108, 129)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","39.640000","38","368","240","127","0.0049","0.0219","(41, 148)","(37, 110)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","36.200000","28","304","215","88","0.0011","0.0089","(170, 92)","(150, 120)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","38.150000","32","840","290","549","0.0012","0.0407","(73, 128)","(88, 160)","./example/gridmap/arena2.map","Hidden"
